id,candidate_length,in_candidates,response,answer
49,10,True,"Breedlove, Janet - Keller Williams Preferred Realty","Chapel Hill, North Carolina"
50,10,True,"Hillsborough, North Carolina","Hillsborough County, Florida"
51,10,True,"Fayetteville, North Carolina","Fayetteville, North Carolina"
52,10,True,"Cumberland County, North Carolina","Cumberland County, North Carolina"
53,10,True,North Carolina,North Carolina
54,10,True,Food and Drug Administration,Food and Drug Administration
55,10,True,"Raleigh, West Virginia","Raleigh, North Carolina"
56,10,True,"Durham, North Carolina","Durham, North Carolina"
57,2,True,Bristol-Myers Squibb Pharmaceutical Plant,Research Triangle Park
58,10,False,nic,South Charlotte (Charlotte neighborhood)
59,5,True,"Brock, Larry and Anna - Coldwell Banker Flouhouse Realtors","Weddington, North Carolina"
60,1,True,"Indian Trail, North Carolina","Indian Trail, North Carolina"
61,3,True,"Brown, Estelle",Lake Norman
62,10,False,nic,South Charlotte (Charlotte neighborhood)
63,10,True,"Brown, Estelle","Cornelius, North Carolina"
64,10,True,"Davidson, North Carolina","Davidson, North Carolina"
65,8,True,"Brown, Estelle - Lake Properties","Huntersville, North Carolina"
66,2,True,Sally Brown,South Charlotte (Charlotte neighborhood)
67,3,True,"Brown, Sally - ReMax Metro Realty",Lake Norman
68,2,True,"Brown, Sally - ReMax Metro Realty",Lake Wylie
69,10,True,"Jacksonville, North Carolina","Jacksonville, North Carolina"
70,6,True,Richlands,"Richlands, North Carolina"
71,2,True,"Burgard, Dennis - Choice Real Estate","Onslow County, North Carolina"
72,10,True,Australia national cricket team,Australia national cricket team
73,10,True,Australia national cricket team,Australia national cricket team
74,1,True,Tim Nielsen,Tim Nielsen
75,1,True,Doug Bollinger,Doug Bollinger
76,2,True,Shane Watson,Shane Watson
77,10,True,Australia national cricket team,Australia national cricket team
78,10,True,Australia national cricket team,Australia
79,10,True,Australia national cricket team,Australia
80,4,True,Ricky Ponting,Ricky Ponting
81,10,True,Ricky Ponting,Ricky Ponting
82,10,True,Australia national cricket team,Australia national cricket team
83,10,True,England cricket team,England cricket team
84,10,True,Australia national cricket team,Australia national cricket team
85,10,True,Australia national cricket team,Australia national cricket team
86,10,True,England cricket team,England cricket team
87,1,True,Andrew Strauss,Andrew Strauss
88,10,True,England cricket team,England cricket team
89,10,True,England cricket team,England cricket team
90,5,True,JavaScript,JavaScript
91,1,True,Disqus,Disqus
92,10,True,England cricket team,England cricket team
93,10,True,Australia national cricket team,Australia national cricket team
94,6,True,One Day International,One Day International
95,10,True,Australia national cricket team,Australia national cricket team
96,10,True,Australia national cricket team,Australia
97,2,True,One-Day Internationals in England in 2005,NatWest Series
98,10,True,England cricket team,England cricket team
99,10,True,Australia national cricket team,Australia
100,10,True,England cricket team,England cricket team
101,10,True,The Ashes,The Ashes
102,10,True,Australia national cricket team,Australia national cricket team
103,10,True,England cricket team,England cricket team
104,10,True,Rose Bowl (cricket ground),Rose Bowl (cricket ground)
105,10,True,England cricket team,England cricket team
106,4,True,One Day International,One Day International
107,10,True,Australia national cricket team,Australia national cricket team
108,10,True,England cricket team,England cricket team
109,1,True,Andrew Strauss,Andrew Strauss
110,9,True,Lord's Cricket Ground,Lord's Cricket Ground
111,10,True,Australia national cricket team,Australia national cricket team
112,10,True,England cricket team,England cricket team
113,10,True,Formula One,Formula One
114,10,True,India national cricket team,India national cricket team
115,1,True,Graeme Swann,Graeme Swann
116,1,True,Death threat,Death threat
117,1,True,Simon Katich,Simon Katich
118,6,True,Michael Clarke (cricketer),Michael Clarke (cricketer)
119,1,True,India national cricket team,India national cricket team
120,10,True,Australia national cricket team,Australia
121,10,True,Melbourne Cricket Ground,Melbourne
122,10,True,God,God
123,3,True,Harbhajan Singh,Harbhajan Singh
124,10,True,India,India
125,10,True,India national cricket team,India national cricket team
126,10,True,Australia national cricket team,Australia
127,10,True,India,India national cricket team
128,10,True,Australia national cricket team,Australia national cricket team
129,10,True,India,India
130,10,True,India national cricket team,India national cricket team
131,5,True,JavaScript,JavaScript
132,1,True,Disqus,Disqus
133,10,False,nic,England and Wales Cricket Board
134,10,True,Pakistan national cricket team,Pakistan national cricket team
135,1,True,England and Wales Cricket Board,England and Wales Cricket Board
136,9,True,England and Wales Cricket Board,England and Wales Cricket Board
137,10,True,Pakistan national cricket team,Pakistan national cricket team
138,10,True,Cinema of India,India
139,1,True,Virender Sehwag,Virender Sehwag
140,1,True,Delhi Daredevils,Delhi Daredevils
141,10,True,Antigua,Antigua
142,3,True,India national cricket team,India national cricket team
143,10,True,Australia national cricket team,Australia national cricket team
144,10,True,United Kingdom,United Kingdom
145,10,True,Essex County Cricket Club,Essex County Cricket Club
146,10,True,Lancashire County Cricket Club,Lancashire County Cricket Club
147,10,True,Lancashire County Cricket Club,Lancashire County Cricket Club
148,1,True,Stuart Law,Stuart Law
149,10,True,Formula One,Formula One
150,10,True,India national cricket team,India national cricket team
151,1,True,Graeme Swann,Graeme Swann
152,1,True,Death threat,Death threat
153,1,True,Simon Katich,Simon Katich
154,6,True,Michael Clarke (cricketer),Michael Clarke (cricketer)
155,10,True,Hong Kong,Hong Kong
156,10,True,SAS (software),SAS (software)
157,10,True,Java,Java (programming language)
158,2,True,Java/SAS Developers,Bachelor's degree
159,10,True,Java (programming language),Java (programming language)
160,10,True,SQL,SQL
161,10,True,SAS (software),SAS (software)
162,10,False,nic,University of Hong Kong
163,1,True,Microsoft Excel,Microsoft Excel
164,2,True,Statistical Assistant,SPSS
165,10,True,R (programming language),R (programming language)
166,10,True,SAS (software),SAS (software)
167,3,True,University of Hong Kong,University of Hong Kong
168,1,True,Belcher's Street,Belcher's Street
169,10,True,Hong Kong,Hong Kong
170,10,True,SAS (software),SAS (software)
171,2,True,SPSS,SPSS
172,10,True,English language,England
173,10,True,SAS (software),SAS (software)
174,2,True,SPSS,SPSS
175,10,True,English,England
176,1,True,Actuarial science,Actuarial science
177,5,True,Financial risk management,Risk management
178,10,True,SAS (software),SAS (software)
179,10,True,Mathematics,Mathematics
180,10,True,Physics,Physics
181,1,True,Actuarial science,Actuarial science
182,5,True,Enterprise risk management,Risk management
183,10,True,SAS (software),SAS (software)
184,1,True,PowerBuilder,PowerBuilder
185,5,True,Public-key infrastructure,Public-key infrastructure
186,2,True,Java (programming language),"Java Platform, Standard Edition"
187,5,True,Public-key infrastructure,Public-key infrastructure
188,1,True,Documentum,Documentum
189,1,True,Academic degree,Academic degree
190,10,True,"School of Computer Science, University of Manchester",Computer science
191,1,True,Computer engineering,Computer engineering
192,2,False,nic,Certified Information Systems Security Professional
193,1,True,Certified Information Systems Security Professional,Certified Information Systems Security Professional
194,10,True,SAS (software),SAS (software)
195,2,True,IBM WebSphere,IBM WebSphere
196,10,False,nic,American Basketball Association
197,10,True,American Bar Association,American Basketball Association
198,1,True,Oracle RAC,Oracle RAC
199,2,True,Documentum,Documentum
200,10,True,SAS (software),SAS (software)
201,10,True,Customer relationship management,Customer relationship management
202,10,True,SAS (software),SAS (software)
203,2,True,SPSS Inc.,SPSS
204,5,True,Nissan Juke,Elegance
205,1,True,Nissan Juke,Nissan Juke
206,1,True,Carlos Ghosn,Carlos Ghosn
207,10,False,nic,Nissan Juke
208,10,True,Nissan Motor Company,Nissan Motor Company
209,3,True,Nissan 370Z,Nissan 370Z
210,10,False,nic,Nissan Juke
211,10,True,Nissan Leaf,Nissan Leaf
212,10,False,nic,Nissan Juke
213,10,True,Generation X,Generation X
214,10,True,Millennials,Millennials
215,10,False,nic,Nissan Juke
216,3,True,Eastern Bloc,Eastern Bloc
217,10,True,Nissan Juke,Nissan Juke
218,6,True,Little League Baseball,Little League Baseball
219,1,True,Mini Countryman,Mini Countryman
220,10,True,Nissan Juke,Nissan Juke
221,10,True,Nissan Juke,Nissan Juke
222,10,False,nic,Nissan Juke
223,10,True,Nissan Juke,Nissan Juke
224,10,True,Sport,Sport
225,10,False,nic,ECO (Domain Driven Design)
226,10,False,nic,Nissan Juke
227,7,True,Continuously variable transmission,Continuously variable transmission
228,10,False,nic,Nissan Juke
229,10,True,Nissan Juke,Nissan Juke
230,10,True,Nissan Juke,Nissan Juke
231,10,True,Detroit,Detroit
232,10,True,Munich,Munich
233,10,True,Yokohama,Yokohama
234,10,True,Gothenburg,Gothenburg
235,10,True,Crewe,Crewe
236,10,True,Seoul,Seoul
237,10,True,Ronald Reagan,Ronald Reagan
238,2,True,League of Ireland,League of Ireland
239,10,False,nic,Ian Foster (footballer)
240,1,True,Dundalk F.C.,Dundalk F.C.
241,3,True,Ian Foster,Ian Foster (footballer)
242,2,True,Shamrock Rovers,Shamrock Rovers F.C.
243,1,True,Tallaght Stadium,Tallaght Stadium
244,9,True,Chris Turner (footballer born 1987),Chris Turner (footballer born 1987)
245,1,True,Billy Dennehy,Billy Dennehy
246,9,False,nic,Shamrock Rovers F.C.
247,1,True,Drogheda United F.C.,Drogheda United F.C.
248,1,True,St Patrick's Athletic F.C.,St Patrick's Athletic F.C.
249,10,False,nic,Ian Foster (footballer)
250,10,True,Dublin,Dublin
251,10,False,nic,Ian Foster (footballer)
252,10,True,Preston North End F.C.,Preston North End F.C.
253,10,False,nic,Shamrock Rovers F.C.
254,1,True,Peter Cherrie,Peter Cherrie
255,10,False,nic,Chris Turner (footballer born 1987)
256,10,False,nic,Ian Foster (footballer)
257,9,True,Drogheda United F.C.,Drogheda United F.C.
258,2,True,Shamrock Rovers F.C.,Shamrock Rovers F.C.
259,10,True,Dundalk F.C.,Dundalk F.C.
260,10,False,nic,Ian Foster (footballer)
261,10,True,Liverpool,Liverpool F.C.
262,10,False,nic,Shamrock Rovers F.C.
263,3,True,Dan Murray (English footballer),Dan Murray (English footballer)
264,1,True,Craig Sives,Craig Sives
265,10,False,nic,Ian Foster (footballer)
266,10,True,Dundalk F.C.,Preston North End F.C.
267,1,True,St Patrick's Athletic F.C.,St Patrick's Athletic F.C.
268,6,True,Tallaght,Tallaght Stadium
269,10,False,nic,Ian Foster (footballer)
270,1,True,Galway United F.C.,Galway United F.C.
271,9,True,Drogheda United F.C.,Drogheda United F.C.
272,10,True,Dundalk F.C.,Dundalk F.C.
273,1,True,Chris Bennion,Chris Bennion
274,10,False,nic,St Patrick's Athletic F.C.
275,1,True,Edward Jones Dome,Edward Jones Dome
276,10,True,Central Time Zone,Central Time Zone
277,10,True,St. Louis Rams,St. Louis Rams
278,10,True,Greek,Greece
279,10,True,Miami Dolphins,Miami Heat
280,10,True,National Football League,National Football League
281,10,True,St. Louis Rams,St. Louis Rams
282,10,True,Orlando Pace,Pace (speed)
283,10,True,Marc Bulger,Marc Bulger
284,10,True,Rhode Island,Rhode Island
285,10,True,At the Gates,Austria
286,10,True,Guard (American and Canadian football),Guard (American and Canadian football)
287,10,True,Andy McCollum,Bill McCollum
288,10,True,Rhode Island,Rhode Island
289,10,True,Vic Mignogna,Victoria (Australia)
290,10,False,nic,Golf course
291,10,True,Linebacker,Major League Baseball
292,10,True,Linebacker,Linebacker
293,10,True,United States Secret Service,Shortstop
294,10,False,nic,Tackle (American and Canadian football)
295,10,True,Oakland Raiders,"Oakland, California"
296,10,True,Tennessee,Tennessee Volunteers football
297,10,True,Carbon dioxide,Carbon dioxide
298,10,True,International Electrotechnical Commission,International Electrotechnical Commission
299,5,True,Japanese Industrial Standards,Japanese Industrial Standards
300,1,True,IP Code,IP Code
301,10,True,Printed circuit board,Printed circuit board
302,10,True,Mobile digital media player,Mobile digital media player
303,5,True,Psion netBook,Netbook
304,10,True,On-screen display,On-screen display
305,10,True,Time,Time (magazine)
306,3,False,nic,Xbox (console)
307,9,True,PlayStation,PlayStation
308,1,True,TOSLINK,TOSLINK
309,10,True,Electronic Industries Alliance,Energy Information Administration
310,9,True,Fused Biconic Coupler/Tap (FBC),Fox Broadcasting Company
311,10,True,Broad Institute,Stuart Broad
312,10,True,China,China
313,10,True,Mainland China,Mainland
314,2,True,Alcatel-Lucent,Alcatel-Lucent
315,10,True,Small form-factor pluggable transceiver,Small form-factor pluggable transceiver
316,10,False,nic,Optical fiber connector
317,10,False,nic,Optical fiber connector
318,10,False,nic,University of Missouri
319,10,True,Tosa (dog),Tosa (dog)
320,10,False,nic,Optical fiber connector
321,10,False,nic,Optical fiber connector
322,10,False,nic,University of Missouri
323,10,True,Free (band),Free software
324,10,True,Free software,Free software
325,10,True,Free software,Free software
326,5,True,Business-to-business,Business-to-business
327,10,True,Barcelona,FC Barcelona
328,10,True,Spain,Spain
329,1,True,Fanconi anemia,Fanconi anemia
330,10,False,nic,Fanconi anemia
331,10,True,Head,Head
332,10,False,nic,Fanconi anemia
333,10,True,New Mexico,New Mexico
334,1,True,Oregon Health & Science University,Oregon Health & Science University
335,10,True,"Portland, Oregon","Portland, Oregon"
336,10,True,Oregon Health & Science University,Oregon
337,10,True,United States,United States
338,1,False,Roswell Park Memorial Institute medium,Roswell Park Cancer Institute
339,10,False,nic,Division I (NCAA)
340,10,True,Nautical mile,New Mexico
341,9,True,MTT assay,MTT assay
342,2,True,Matrix metalloproteinase,Matrix metalloproteinase
343,1,True,Matrigel,Matrigel
344,1,True,H&E stain,H&E stain
345,1,True,Oregon Health & Science University,Oregon Health & Science University
346,10,True,New Mexico,New Mexico
347,10,True,New Mexico,New Mexico
348,10,True,New Mexico,New Mexico
349,1,True,Zymography,Zymography
350,1,True,MMP2,MMP2
351,10,True,New Mexico,New Mexico
352,2,True,Matrix metalloproteinase,Matrix metalloproteinase
353,10,True,New Mexico,New Mexico
354,6,False,nic,Oregon Health & Science University
355,1,True,Matrigel,Matrigel
356,1,True,H&E stain,H&E stain
357,10,True,New Mexico,New Mexico
358,1,True,Fanconi anemia,Fanconi anemia
359,10,True,New Mexico,New Mexico
360,8,False,nic,Oregon Health & Science University
361,1,True,MMP2,MMP2
362,10,True,New Mexico,New Mexico
363,10,True,New Mexico,New Mexico
364,10,False,nic,West Africa
365,10,False,nic,West Africa
366,9,True,Ivory Coast,Ivory Coast
367,10,False,nic,West Africa
368,2,True,Pay television,Pay television
369,8,True,Ivory Coast,Ivory Coast
370,10,True,French,France
371,10,True,Management Consulting Group,Melbourne Cricket Ground
372,10,True,Minister of Communications (Cote d'Ivoire),Minister of Communications (South Africa)
373,5,True,Abidjan,Abidjan
374,8,True,Ivory Coast,Ivory Coast
375,10,True,West Africa,West Africa
376,9,True,Ivory Coast,Ivory Coast
377,10,False,nic,Sub-Saharan Africa
378,9,True,Ivory Coast,Ivory Coast
379,8,True,Ivory Coast,Ivory Coast
380,10,False,nic,Sub-Saharan Africa
381,10,True,Management Consulting Group,Melbourne Cricket Ground
382,10,True,European Union,European Union
383,10,True,French language,France
384,10,True,French language,France
385,10,False,nic,Sub-Saharan Africa
386,2,True,Premier League,Premier League
387,10,True,Democratic Republic of the Congo,Democratic Republic of the Congo
388,10,True,Cameroon,Cameroon
389,2,True,Ivory Coast,Ivory Coast
390,10,True,Gabon,Gabon
391,10,True,Senegal,Senegal
392,2,True,Republic of the Congo,Republic of the Congo
393,10,True,Togo,Togo
394,10,True,Benin,Benin
395,3,True,Vivendi,Vivendi
396,3,True,Canal Plus,Canal+
397,10,False,nic,Sub-Saharan Africa
398,4,True,Sub-Saharan Africa,Sub-Saharan Africa
399,10,True,South Africa,South Africa
400,1,True,Differential scanning calorimetry,Differential scanning calorimetry
401,10,True,Differential scanning calorimetry,Differential scanning calorimetry
402,9,False,nic,Differential scanning calorimetry
403,9,False,nic,Differential scanning calorimetry
404,9,False,nic,Differential scanning calorimetry
405,10,True,Differential scanning calorimetry,Differential scanning calorimetry
406,9,False,nic,Differential scanning calorimetry
407,9,False,nic,Differential scanning calorimetry
408,10,True,Differential scanning calorimetry,Differential scanning calorimetry
409,9,False,nic,Differential scanning calorimetry
410,9,False,nic,Differential scanning calorimetry
411,9,False,nic,Differential scanning calorimetry
412,1,True,Carbonyl,Carbonyl
413,9,False,nic,Differential scanning calorimetry
414,10,True,Differential scanning calorimetry,Differential scanning calorimetry
415,9,False,nic,Differential scanning calorimetry
416,9,False,nic,Differential scanning calorimetry
417,9,False,nic,Differential scanning calorimetry
418,10,True,Differential scanning calorimetry,Differential scanning calorimetry
419,9,False,nic,Differential scanning calorimetry
420,9,False,nic,Differential scanning calorimetry
421,10,True,Differential scanning calorimetry,Differential scanning calorimetry
422,9,False,nic,Differential scanning calorimetry
423,2,True,EPDM rubber,EPDM rubber
424,10,True,Polyethylene,Polyethylene
425,10,True,Polypropylene,Polypropylene
426,2,True,EPDM rubber,EPDM rubber
427,10,True,Differential scanning calorimetry,Differential scanning calorimetry
428,10,True,Germany,Germany
429,10,True,Japan,Japan
430,10,True,European countries,Europe
431,10,True,Japan,Japan
432,10,True,Niigata,"Niigata, Niigata"
433,10,True,Sapporo,Sapporo
434,1,True,Blast furnace,Blast furnace
435,5,True,NKK,JFE Holdings
436,1,True,Coke (fuel),Coke (fuel)
437,2,True,Teijin,Glycolysis
438,3,True,Teijin,Teijin
439,10,True,Japan,Japan
440,3,True,Polyethylene terephthalate,Polyethylene terephthalate
441,10,True,Japan,Japan
442,10,True,Parliament,Parliament of the United Kingdom
443,10,True,Japanese Government,Japan
444,10,True,Japan,Japan
445,1,True,Huddersfield Giants,Huddersfield Giants
446,2,True,Wigan Warriors,Wigan Warriors
447,1,True,Huddersfield Giants,Huddersfield Giants
448,9,True,Nathan Brown (rugby league),Nathan Brown (rugby league)
449,8,True,Castleford,Castleford Tigers
450,1,True,Super League XVII,Super League XVII
451,10,True,Wigan Warriors,Wigan Warriors
452,10,True,Wigan Warriors,Golden State Warriors
453,10,False,nic,Huddersfield Giants
454,10,False,nic,Huddersfield Giants
455,10,True,Gordon Brown,Brown
456,10,False,nic,Sports league
457,10,True,Wigan,Wigan Warriors
458,2,True,John Smith's Stadium,Galpharm International
459,10,False,nic,Castleford Tigers
460,1,True,Lee Gilmour,Lee Gilmour
461,1,True,Joe Wardle,Joe Wardle
462,2,True,Dale Ferguson (rugby league),Dale Ferguson (rugby league)
463,5,True,Tommy Lee (rugby league),Tommy Lee (rugby league)
464,10,False,nic,Huddersfield Giants
465,10,False,nic,Wigan Warriors
466,8,True,Castleford,Castleford Tigers
467,10,True,Huddersfield Giants,Huddersfield Giants
468,10,True,Wigan Warriors,Wigan Warriors
469,10,True,Australia national rugby league team,Australia
470,1,True,Anthony Gelling,Anthony Gelling
471,1,True,Danny Brough,Danny Brough
472,1,True,Gareth Hock,Gareth Hock
473,1,True,Huddersfield Daily Examiner,Huddersfield Daily Examiner
474,2,True,Huddersfield Daily Examiner,Huddersfield Daily Examiner
475,10,True,West Yorkshire,West Yorkshire
476,10,True,Huddersfield,Huddersfield Giants
477,1,True,Huddersfield Town F.C.,Huddersfield Town F.C.
478,1,True,Huddersfield Daily Examiner,Huddersfield Daily Examiner
479,2,True,Huddersfield Daily Examiner,Huddersfield Daily Examiner
480,10,True,West Yorkshire,West Yorkshire
481,10,True,Huddersfield,Huddersfield Giants
482,1,True,Huddersfield Town F.C.,Huddersfield Town F.C.
483,1,True,Pas-de-Calais,Pas-de-Calais
484,1,True,Pas-de-Calais,Pas-de-Calais
485,10,True,France,France
486,1,True,Pas-de-Calais,Pas-de-Calais
487,10,True,European Union,Europe
488,1,True,Pas-de-Calais,Pas-de-Calais
489,10,True,France,France
490,9,True,Apartment,Apartment
491,10,True,Castle,Castle
492,5,True,Chalet,Chalet
493,7,True,Condominium,Condominium
494,4,True,Condominium,Condominium
495,10,True,Cottage,Cottage
496,2,True,Country House,English country house
497,3,True,Farmhouse,Farmhouse
498,3,True,Finca,Finca
499,2,True,Holiday Home,Vacation property
500,10,True,Island,Island
501,10,True,Lodge,Masonic Lodge
502,10,True,Mansion,Mansion
503,10,True,Marina,Marina
504,3,True,Mobile Home,Mobile home
505,9,True,Penthouse apartment,Penthouse (magazine)
506,1,True,Townhouse,Townhouse
507,10,True,Villa,Villa
508,10,True,France,France
509,1,True,Pas-de-Calais,Pas-de-Calais
510,1,True,Pas-de-Calais,Pas-de-Calais
511,1,True,Pas-de-Calais,Pas-de-Calais
512,1,True,Pas-de-Calais,Pas-de-Calais
513,1,True,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo
514,4,True,United Nations Security Council,United Nations Security Council
515,1,True,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo
516,10,True,Democratic Republic of the Congo,Democratic Republic of the Congo
517,8,True,International Press Institute,International Press Institute
518,4,False,nic,"South Sudanese independence referendum, 2011"
519,10,True,South Sudan,South Sudan
520,1,True,Sudan,Sudan
521,10,True,Constituent Assembly,Constituent assembly
522,1,True,University of Khartoum,University of Khartoum
523,10,True,Supreme Court of Southern Sudan,Supreme Court of the United States
524,10,True,South Sudan,South Sudan
525,4,True,United Nations Security Council,United Nations Security Council
526,10,False,nic,United Nations Security Council
527,10,True,Democratic Republic of the Congo,Democratic Republic of the Congo
528,10,True,Elections in the Democratic Republic of the Congo,Democratic Republic of the Congo
529,1,True,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo,United Nations Organization Stabilization Mission in the Democratic Republic of the Congo
530,10,True,Africa,Africa
531,10,True,Ivory Coast,Ivory Coast
532,10,True,Africa,Africa
533,1,True,Laurent Gbagbo,Laurent Gbagbo
534,5,True,Abidjan,Abidjan
535,2,True,Alassane Ouattara,Alassane Ouattara
536,10,True,Ivory Coast,Ivory Coast
537,1,True,Ibrahim Gambari,Ibrahim Gambari
538,5,True,African Union – United Nations Hybrid Operation in Darfur,African Union
539,10,True,African Union Mission in Sudan,Darfur
540,8,True,International Press Institute,International Press Institute
541,10,True,War in Darfur,Darfur
542,10,True,Liberia,Liberia
543,8,True,International Press Institute,International Press Institute
544,10,True,Liberia,Liberia
545,2,True,Liberia,Liberia
546,10,True,South Sudan,South Sudan
547,10,True,North,North
548,10,True,Ivory Coast,Ivory Coast
549,1,True,Youssoufou Bamba,Youssoufou Bamba
550,10,True,Ivory Coast,Ivory Coast
551,8,True,International Press Institute,International Press Institute
552,10,True,Piracy,Piracy
553,1,True,Somalia,Somalia
554,8,True,International Press Institute,International Press Institute
555,10,True,Somalia,Somalia
556,8,True,International Press Institute,International Press Institute
557,2,True,ExxonMobil,ExxonMobil
558,10,True,"Altona, Victoria","Altona, Victoria"
559,10,True,Monash University,Monash University
560,10,True,Monash University,Monash University
561,10,True,Victoria (Australia),Victoria (Australia)
562,10,True,Monash University,Monash University
563,10,True,Sky,Sky
564,1,True,Materials science,Materials science
565,10,True,Monash University,Monash University
566,10,True,Monash University,Monash University
567,10,True,Ken Jennings,Ken Masters
568,10,True,Monash University,Monash University
569,1,True,Defence Science and Technology Organisation,Defence Science and Technology Organisation
570,1,True,Materials science,Materials science
571,10,True,Lyon,Lyon
572,10,True,France,France
573,2,True,Materials Science,Materials science
574,10,True,Monash University,Monash University
575,10,True,Monash University,Monash University
576,10,True,"Reservoir, Victoria",Reservoir
577,10,True,Victoria (Australia),Victoria (Australia)
578,10,True,Monash University,Monash University
579,2,True,Tenix,Tenix
580,10,True,Australia,Australia
581,10,True,Monash University,Monash University
582,10,True,Province of Modena,Modena
583,10,True,Italy,Italy
584,1,True,Deakin University,Deakin University
585,10,True,Australia,Australia
586,10,True,Australia,Australia
587,10,True,Monash University,Monash University
588,10,True,Monash University,Monash University
589,10,True,Monash University,Monash University
590,10,True,"Altona, Victoria","Altona, Victoria"
591,10,True,Victoria (Australia),Victoria (Australia)
592,10,True,Monash University,Monash University
593,5,True,Alcoa,Alcoa
594,10,True,Monash University,Monash University
595,10,True,Monash University,Monash University
596,10,True,Monash University,Monash University
597,10,True,"Frankfort, Kentucky","Frankfort, Kentucky"
598,10,True,Kentucky Court of Justice,Kentucky
599,10,True,Kentucky Circuit Courts,Circuit court
600,10,True,"Springfield, Kentucky","Springfield, Illinois"
601,10,True,Kentucky,Kentucky
602,10,True,"Adair County, Kentucky","Adair, Iowa"
603,10,True,"Bell County, Kentucky","Bell County, Kentucky"
604,10,True,"Casey County, Kentucky","Casey, Iowa"
605,10,True,Clinton,Bill Clinton
606,10,False,nic,Golf course
607,10,True,"Harlan County, Kentucky","Harlan, Kentucky"
608,10,False,nic,"Jackson, Kentucky"
609,10,False,nic,Knox Automobile Company
610,10,True,"Lincoln, Kentucky","Lincoln, Nebraska"
611,10,True,Marion,"Marion, Ohio"
612,10,False,nic,"Monroe, Ohio"
613,10,True,"Russell, Kentucky","Russell, Kentucky"
614,10,False,nic,"Taylor, Australian Capital Territory"
615,10,True,"Washington County, Kentucky","Washington, D.C."
616,10,False,nic,Hundred of Whitley
617,10,True,Kentucky,Kentucky
618,1,True,Circuit court,Circuit court
619,10,False,nic,Golf course
620,10,True,Marion,"Marion, Ohio"
621,10,False,nic,"Taylor, Australian Capital Territory"
622,10,True,"Washington County, Maryland","Washington, D.C."
623,1,True,Circuit court,Circuit court
624,10,True,District Court,District court
625,10,False,nic,Hundred of Whitley
626,10,True,Kentucky,Kentucky
627,9,True,Judiciary,Judiciary
628,10,True,Sin,Sin
629,10,True,God,God
630,10,True,Iceland,Iceland
631,5,True,Bible,Bible
632,1,True,King James Version,King James Version
633,3,True,Talking Heads,Talking Heads
634,1,True,Luaka Bop,Luaka Bop
635,10,True,David Byrne,Talking Heads
636,10,True,Valencia,Valencia CF
637,10,True,Spain,Spain
638,10,False,nic,Talking Heads
639,7,True,True Stories (film),True Stories (Talking Heads album)
640,10,False,nic,Talking Heads
641,10,False,nic,Talking Heads
642,10,True,English language,England
643,10,True,Spanish language,Spain
644,10,False,nic,Talking Heads
645,10,False,nic,Talking Heads
646,3,True,Dave Eggers,Dave Eggers
