id,candidate_length,in_candidates,response,answer
240,10,True,University of Glasgow,Glasgow
241,10,False,nic,Joseph Black
242,6,True,William Cullen,William Cullen
243,10,True,Fullerian Professor of Chemistry,Professor
244,8,True,University of Edinburgh,University of Edinburgh
245,1,True,"Henry Home, Lord Kames","Henry Home, Lord Kames"
246,10,True,Fullerian Professor of Chemistry,Professor
247,8,True,University of Edinburgh,University of Edinburgh
248,10,True,University of Edinburgh,Edinburgh
249,10,True,"John S. McCain, Jr.",Father
250,10,True,Senator of the College of Justice,Judge
251,1,False,Robert Cullen (footballer),"Robert Cullen, Lord Cullen"
252,10,True,physician,Physician
253,1,True,Henry Cullen,Henry Cullen
254,10,True,Robert Cullen,Son
255,10,False,nic,"Robert Cullen, Lord Cullen"
256,10,True,Senator of the College of Justice,Judge
257,10,True,Mathematics,Mathematician
258,10,True,James Clerk Maxwell,James Clerk Maxwell
259,10,True,Kingdom of Scotland,Scotland
260,10,True,University of Cambridge,University of Cambridge
261,10,False,nic,James Clerk Maxwell
262,3,True,"Peterhouse, Cambridge","Peterhouse, Cambridge"
263,10,False,nic,James Clerk Maxwell
264,10,True,"Trinity College, Cambridge","Trinity College, Cambridge"
265,10,False,nic,James Clerk Maxwell
266,10,True,Research fellow,Fellow
267,10,True,James Clerk Maxwell,James Clerk Maxwell
268,10,True,The Reverend,The Reverend
269,4,False,nic,Marischal College
270,1,True,Cavendish Professor of Physics,Cavendish Professor of Physics
271,10,True,University of Cambridge,University of Cambridge
272,10,True,Michael Faraday,Michael Faraday
273,3,True,Newington Butts,Newington Butts
274,3,True,London Borough of Southwark,London Borough of Southwark
275,10,True,Surrey,Surrey
276,8,True,University of Edinburgh,University of Edinburgh
277,10,True,University of Edinburgh,University
278,3,True,Scottish Enlightenment,Scottish Enlightenment
279,5,True,University of Glasgow,University of Glasgow
280,1,True,Pope Nicholas V,Pope Nicholas V
281,10,True,University of Bologna,Bologna
282,10,True,Florence,Florence
283,10,True,Bologna,Bologna
284,0,False,nic,Petronius of Bologna
285,1,False,Saint Petronius,Petronius of Bologna
286,10,True,Diocesan bishop,Bishop
287,10,True,Bologna,Bologna
